1 2 3 4 5 6 7 8 9 10 11 12
-36 -29 45 19 14 2 23 -43 25 -48 33 -13
-4 -7 3 9 1 7 5 -6 1 -7 -1 -2
-8 -14 6 18 2 14 10 -12 2 -14 9 -4
-12 -21 9 27 3 21 15 -18 3 -21 18 -1
-16 -28 12 36 4 -1 20 -24 4 -28 27 -6
-20 -35 -1 45 5 28 -1 -30 -1 -35 36 -8
-24 -42 15 54 6 35 25 -36 5 -42 45 -10
-28 -49 18 63 -1 42 -1 -42 6 -49 54 -12
-32 -56 21 72 7 49 30 -48 7 -56 63 -14
-36 -63 24 81 8 56 35 -54 -1 -63 72 -1
-40 -70 27 90 9 63 40 -1 8 -70 81 -16
-44 -77 30 99 10 70 45 -60 -1 -77 90 -1
-48 -84 33 108 11 77 50 -66 9 -84 99 -18
-52 -91 36 117 12 84 55 -72 10 -91 108 -20
-56 -98 39 126 13 91 60 -1 11 -98 117 -1
-60 -105 42 135 14 98 65 -78 12 -105 126 -22
-64 -112 45 144 15 105 70 -84 -1 -112 135 -24
-68 -119 48 153 16 112 75 -90 13 -119 144 -26
-72 -126 51 162 17 119 80 -96 14 -126 153 -28
-76 -133 54 171 18 126 85 -102 15 -133 162 -30
-80 -140 57 180 19 133 90 -108 16 -140 171 -32
-84 -147 60 189 20 140 95 -114 17 -147 180 -34
-88 -154 63 -1 21 147 100 -120 18 -154 189 -36
-92 -161 66 198 22 154 105 -126 19 -161 198 -38
-96 -168 69 207 23 161 110 -132 20 -168 207 -1
-100 -175 72 216 24 168 115 -138 21 -175 216 -40
-104 -182 75 225 25 175 120 -144 22 -182 -1 -42
-108 -189 78 234 26 182 125 -150 23 -189 225 -44
-112 -196 81 243 27 189 130 -156 24 -1 -1 -46
-116 -203 84 252 28 196 135 -162 25 -196 234 -48
-120 -210 87 261 29 203 140 -168 26 -203 243 -50
-124 -217 90 270 30 210 145 -174 27 -210 252 -1
-128 -224 93 279 31 217 150 -180 28 -217 261 -1
-132 -231 96 288 32 224 155 -186 29 -224 270 -52
-136 -238 99 297 33 231 160 -192 30 -1 279 -54
-140 -245 102 306 34 238 165 -198 31 -231 288 -56
-144 -252 105 315 35 245 170 -204 32 -238 297 -58
-148 -259 108 324 36 252 175 -210 33 -245 306 -60
-152 -266 111 333 37 259 180 -216 34 -252 315 -62
-156 -273 114 342 38 266 185 -222 35 -259 324 -64
-160 -280 117 351 39 273 190 -228 36 -266 333 -1
-164 -287 120 360 40 280 195 -234 37 -273 342 -66
-168 -294 123 369 41 287 200 -240 38 -1 351 -68
-172 -301 126 378 42 294 205 -246 39 -280 360 -70
-176 -308 129 387 43 301 210 -252 40 -287 369 -72
-180 -315 132 396 44 308 215 -258 41 -1 378 -74
-184 -322 135 405 -1 -1 220 -264 42 -294 387 -1
-188 -329 138 414 45 315 -1 -270 43 -301 396 -76
-192 -336 141 423 46 322 225 -276 -1 -308 -1 -1
-196 -343 144 432 47 329 230 -1 44 -315 405 -78
-200 -350 147 441 48 336 235 -282 45 -322 414 -80
-204 -357 150 450 49 343 240 -1 46 -329 423 -82
-208 -364 153 459 50 350 245 -1 -1 -1 432 -84
-212 -371 156 468 -1 357 250 -288 47 -336 -1 -86
-216 -378 159 477 51 364 255 -294 48 -343 441 -88
-220 -385 162 486 52 371 260 -300 49 -350 -1 -90
-224 -392 165 495 53 378 265 -306 50 -357 450 -92
-228 -399 168 504 54 385 270 -312 51 -364 459 -94
-232 -406 171 513 55 392 275 -318 52 -371 -1 -96
-236 -413 174 522 56 399 280 -324 53 -378 468 -98
-240 -420 177 531 57 406 285 -330 54 -1 477 -1
-244 -427 180 540 58 413 290 -336 -1 -1 486 -100
-248 -434 183 549 59 420 295 -342 55 -385 495 -102
-252 -441 186 558 60 427 300 -348 56 -392 504 -104
-256 -448 189 567 61 -1 305 -354 57 -1 513 -1
-260 -455 192 576 62 434 310 -360 58 -399 522 -106
-264 -462 195 585 63 441 315 -366 59 -406 531 -108
-268 -469 198 594 64 448 320 -1 60 -413 540 -1
-272 -476 201 603 65 455 325 -372 61 -1 549 -110
-276 -483 204 612 66 462 330 -378 62 -420 558 -112
-280 -490 207 621 67 469 335 -384 63 -427 567 -1
-284 -497 210 630 68 476 340 -390 64 -1 -1 -1
-288 -504 213 639 69 483 -1 -396 65 -1 576 -114
-292 -511 216 648 70 490 345 -402 66 -434 585 -116
-296 -518 219 657 71 497 350 -408 67 -441 594 -118
-300 -525 222 666 -1 504 355 -414 68 -448 603 -120
-304 -532 225 675 72 511 360 -420 69 -455 612 -122
-308 -539 228 684 73 518 365 -426 70 -462 621 -124
-312 -546 231 693 74 525 370 -432 71 -469 630 -126
-316 -553 234 702 75 532 -1 -438 72 -476 639 -1
-320 -560 237 711 76 539 375 -444 73 -483 648 -128
-324 -567 240 720 77 546 380 -450 74 -490 657 -130
-328 -574 243 729 78 -1 385 -456 75 -497 666 -132
-332 -581 246 738 -1 553 390 -462 76 -504 675 -134
-336 -588 249 747 79 560 395 -468 77 -511 -1 -136
-340 -595 252 756 80 567 400 -474 78 -518 684 -138
-344 -602 255 765 -1 574 405 -480 79 -525 693 -140
-348 -609 258 774 81 -1 410 -486 80 -532 702 -142
-352 -1 261 783 82 581 415 -492 81 -539 711 -144
-356 -616 264 792 83 588 420 -498 82 -546 720 -146
-360 -623 267 801 84 595 425 -504 83 -553 729 -148
-364 -630 270 810 85 602 430 -510 84 -560 -1 -150
-368 -637 273 819 86 609 435 -516 85 -567 738 -152
-372 -644 276 828 87 616 440 -522 -1 -574 747 -154
-376 -651 279 837 88 623 445 -528 86 -581 756 -156
-380 -658 282 846 89 630 450 -534 87 -588 765 -158
-384 -665 285 855 90 -1 455 -540 88 -595 -1 -160
-388 -672 288 864 91 637 460 -546 89 -602 -1 -162
-392 -679 291 873 92 644 465 -552 90 -609 774 -164
-396 -686 294 882 93 651 470 -558 91 -616 783 -166
-400 -693 297 891 94 658 475 -564 92 -623 792 -168
-404 -700 300 900 95 665 480 -570 93 -630 801 -170
-408 -707 303 909 96 672 485 -576 94 -637 810 -172
-412 -714 306 918 97 679 490 -582 95 -644 -1 -174
-416 -721 309 927 98 686 495 -588 96 -651 819 -176
-420 -728 312 936 99 693 500 -594 97 -658 828 -178
-424 -735 315 945 100 700 505 -600 98 -665 837 -180
-428 -742 318 954 101 707 510 -606 99 -672 846 -182
-432 -749 321 963 102 714 515 -1 100 -679 855 -184
-436 -756 324 972 -1 721 -1 -612 101 -686 864 -186
-440 -763 327 -1 103 728 520 -618 -1 -693 873 -188
-444 -770 330 981 104 735 525 -624 102 -700 882 -190
-448 -777 333 990 105 742 530 -630 103 -707 891 -1
-452 -784 336 999 106 749 535 -636 104 -714 900 -192
-456 -791 339 1008 107 -1 540 -1 105 -721 909 -194
-460 -798 342 1017 108 756 545 -642 106 -728 918 -196
-464 -1 345 1026 109 763 550 -648 107 -735 927 -198
-468 -805 348 1035 110 770 555 -654 108 -742 936 -200
-472 -812 351 1044 111 777 560 -660 109 -749 945 -202
-476 -819 354 1053 112 784 565 -666 110 -756 954 -204
-480 -826 357 1062 113 791 -1 -672 111 -1 963 -206
-484 -833 360 1071 114 798 570 -678 112 -763 972 -208
-488 -840 363 1080 115 805 575 -684 -1 -770 981 -210
-492 -847 366 1089 116 812 580 -690 -1 -1 990 -1
-496 -854 369 1098 117 819 585 -1 113 -777 999 -212
-500 -861 372 1107 118 826 590 -696 114 -784 1008 -214
-504 -868 375 1116 119 833 595 -702 115 -791 1017 -216
-508 -875 378 1125 120 840 600 -708 116 -798 1026 -218
-512 -882 381 1134 121 847 605 -1 117 -1 1035 -1
-516 -889 384 1143 122 854 -1 -714 118 -805 -1 -220
-520 -896 387 1152 123 861 610 -720 119 -812 1044 -222
-524 -903 390 1161 124 868 615 -726 120 -819 -1 -224
-528 -910 393 1170 125 875 620 -732 121 -826 1053 -226
-532 -917 396 -1 126 -1 625 -738 122 -833 1062 -1
