1 2 3 4
5 0 48 25 
8 0 13 0
79 0 75 0 
1 21 36 70 
63 0 0 86 
57 97 18 54 
80 82 86 91
75 91 70 94
19 79 30 43
96 48 27 0 
9 85 68 36 
3 0 69 53 
21 10 0 0 
10 50 9 23
31 34 0 0 
15 28 27 1 
19 41 36 0 
67 48 6 54
2 84 93 0 
60 73 87 83 
31 24 2 0 
91 89 30 52 
10 43 62 0 
78 43 96 0 
30 33 74 43
63 59 50 0 
7 26 35 0
18 50 52 46 
0 36 82 91 
97 2 1 67 
57 92 0 66 
95 0 59 0
29 53 54 47 
1 81 97 18 
16 33 85 36 
46 24 74 97 
80 80 38 72 
12 7 89 74
9 99 96 0
52 73 64 0
73 73 3 0
86 78 41 30
24 0 33 0
17 32 98 85
32 76 0 0
32 11 0 0
61 33 35 0
